id	E17.5KO1	E17.5KO2	E17.5KO3	E17.5WT1	E17.5WT2	E17.5WT3
1417281_a_at	9.780592497	9.557913394	9.839338533	10.00660381	10.34700958	9.869255729
1417282_at	9.525486713	9.950869064	9.719238928	9.884574819	10.26748803	10.2729287
1417283_at	7.157883146	4.475037049	4.85420384	7.885409385	7.201515475	7.720202675
1417284_at	10.19647226	10.1511345	10.3537043	9.810499104	10.23782127	10.24795004
1417285_a_at	11.80070213	11.78901095	11.87156689	11.83118868	12.09720778	11.9705712
1417286_at	10.96740723	10.93041033	10.61300687	11.130318	11.46488111	11.31304241
1417287_at	10.85553216	10.64819052	10.45557308	10.42863018	10.55927463	10.29336121
1417288_at	9.303103373	9.443421171	9.591818863	9.262048254	9.669829712	9.5164956
1417289_at	7.435315039	7.699418032	7.523045638	6.934480798	7.417367626	7.25864153
1417290_at	4.225107095	4.221467124	5.149345146	5.598110357	6.798019405	7.142149231
1417291_at	11.5640794	11.77840085	11.63876418	11.50826336	11.47585601	11.32873502
1417292_at	7.085286252	7.456766166	6.915222252	7.414577967	7.182181073	7.293904478
1417293_at	9.141166546	8.812066896	9.345855516	9.42544088	9.029164265	9.273712407
1417294_at	9.674071153	9.850661579	9.858858798	9.574291559	9.67878384	9.300265768
1417295_at	9.670073891	9.575827506	9.770281013	10.2527046	9.614152692	9.855023023
1417296_at	10.8855462	10.73594544	10.91720987	10.97425899	11.18220743	11.12342909
1417297_at	10.34534859	10.3202669	10.29230787	10.3261539	10.15715003	10.16848207
1417298_at	10.18565732	10.04368351	10.21259247	10.07497651	9.999127279	10.08473306
1417299_at	8.037713865	7.92364209	7.848056654	7.997917256	7.956607706	8.118329171
1417300_at	6.800454876	7.328776446	6.242838414	7.452338301	7.501816938	7.030232296
1417301_at	10.81576877	10.77967713	10.90072079	10.25558124	10.03068796	9.899195014
1417302_at	7.708910264	7.723375608	7.853614342	5.697079665	7.793942963	7.779088597
1417303_at	9.524047259	9.680129112	9.264530993	8.393064844	8.534909667	8.336543269
1417304_at	5.468784658	6.948811185	5.201686469	6.0409209	7.078162925	6.982972399
1417305_at	7.516225414	6.804548071	5.226410254	5.643680125	5.813449803	6.485735559
1417306_at	8.987071117	9.246914878	8.765666905	8.937619124	8.898048328	8.850685791
1417307_at	9.28990241	9.211913349	9.025229703	9.758083754	9.99690637	9.819706159
1417308_at	13.40055152	13.4888136	13.3345068	13.00946782	12.72966859	12.67506083
1417309_at	8.674256976	8.839395411	8.155970575	8.454463069	8.400250644	8.14920633
1417310_at	7.422258964	7.60799369	7.102735274	7.777898903	7.614902463	7.312948625
1417311_at	10.75923433	10.80094776	10.7732186	10.99183423	11.2307621	11.26895244
1417312_at	8.237152106	7.57458833	7.772783716	7.659153042	8.088896185	7.767669731
1417313_at	10.32448598	9.676368435	10.01765869	10.11438005	10.17041728	9.553489068
1417314_at	5.38565522	6.166404228	6.916597542	4.508294991	6.300721678	5.328373172
1417315_at	9.364758477	9.391024359	9.545866582	9.884797227	10.07382754	10.00660004
1417316_at	9.891207751	10.02430791	9.80770476	10.07986142	10.07470265	10.06193889
1417317_s_at	14.75260959	14.72080887	14.74794192	14.57465247	14.654806	14.68694375
1417318_at	7.50002794	7.97604588	7.462982148	6.917779288	6.801285017	7.496840146
1417319_at	7.812199077	7.611246935	8.327642879	8.672265123	9.300504504	9.033649335
1417320_at	10.66034702	10.51290347	10.5743673	10.5494305	10.60882332	10.45648349
1417321_at	10.43925781	10.60879563	10.3055773	9.975400188	10.33921945	10.4175209
1417322_at	9.692130347	9.316782909	9.815589033	9.836493361	9.324581264	9.487320817
1417323_at	9.957067416	10.48253643	10.21198128	9.791991316	9.709783551	9.774530715
1417324_at	10.08776151	10.00057471	10.06736687	10.3672413	10.67188638	10.61230551
1417325_at	3.66532599	3.599885105	3.888997131	5.309575116	4.11298881	3.743754211
1417326_a_at	10.71469749	10.68579737	10.91188908	10.72433761	11.03071352	10.991303
1417327_at	12.39747498	12.51232423	12.31912413	11.73796603	11.75526472	12.04297344
1417328_at	9.518401951	9.4810069	9.385545059	9.679944705	9.495253448	9.3886204
1417329_at	8.241627106	8.514153375	8.192765934	8.269070356	7.922842933	8.50019194
1417330_at	6.31632472	6.554661738	5.919868035	5.420521853	6.453148357	6.33954911
1417331_a_at	8.218636228	8.231938437	8.101155614	8.199265046	8.675728092	8.831396194
1417332_at	6.100853355	4.491355944	6.491875654	5.010332015	6.367874069	6.045789454
1417333_at	2.968229827	3.076653962	2.981581798	3.326340706	6.004914019	3.762406563
1417334_at	7.760775231	8.350039011	8.111219427	8.179598063	8.452623205	7.888485183
1417335_at	10.17105566	9.916822319	10.20800567	11.18818485	11.07115945	10.58420739
1417336_a_at	6.861880916	7.043738869	6.824983493	6.888057437	6.810614216	6.294774043
1417337_at	4.511905033	3.362640576	3.458972099	2.087795497	1.491941165	2.346291209
1417338_at	3.887782097	3.823326761	2.108695018	5.398602061	4.668969167	3.50303702
1417339_a_at	14.704479	14.66179587	14.66218253	14.75596411	14.7166746	14.53695018
1417340_at	11.1428233	10.82489539	11.20834554	10.75799655	10.86434638	10.86930464
1417341_a_at	10.28148977	10.1190625	10.19431132	10.25680339	10.38590014	10.37500761
1417342_at	7.275550742	8.214570726	7.545418486	7.840260835	7.473453359	7.3021879
1417343_at	8.292253187	7.892546228	8.375056284	8.958055796	9.355529588	9.171473769
1417344_at	11.27845937	11.4271042	11.48868037	11.46163598	11.32597641	11.5445783
1417345_at	6.961716675	6.317905572	6.464140319	6.560629098	6.320493879	4.13304328
1417346_at	12.92494724	12.99207843	12.93420873	12.73151409	12.22786195	12.06458501
1417347_at	7.274717695	7.099616555	6.505867778	6.262094383	6.818492668	6.395628927
1417348_at	10.70991428	10.74865118	10.77412224	10.55663741	10.59075311	10.48553475
1417349_at	10.74045547	10.75364737	10.90065315	10.56782653	10.67457424	10.6191501
1417350_at	8.299725434	8.403689939	8.084062541	8.135929001	8.119913553	8.229545367
1417351_a_at	11.07972562	10.87728803	11.00816004	10.77768173	11.15064324	10.9589713
1417352_s_at	11.15074888	10.86349275	10.83346049	10.60768585	10.81626805	10.69307831
1417353_x_at	10.58804798	10.92913916	11.24399362	10.68156741	10.90271854	11.02447613
1417354_at	9.341217354	9.593389672	9.682844126	9.65707123	9.707301805	9.755727692
1417355_at	13.26876729	13.2593488	13.17595244	13.50562997	12.49452627	13.11767971
1417356_at	12.31745534	12.290153	12.36133352	12.58187284	12.4570279	12.91618655
1417357_at	9.607717459	9.840780412	9.829848367	10.13180337	10.39241486	9.70679567
1417358_s_at	6.14709262	7.966402038	6.899799646	8.301157696	7.023803515	7.718122248
1417359_at	12.36024981	12.38137185	12.55497043	12.70370654	12.92200601	12.76000746
1417360_at	9.213414776	9.010188746	9.185838562	8.980787912	9.164848294	9.08596379
1417361_at	8.807770547	8.579320517	8.988321947	8.991410328	8.897095059	9.024987913
1417362_at	3.459471575	4.366052328	3.941874739	4.207786171	4.406870138	5.206669036
1417363_at	8.219643186	8.001876618	8.155405379	8.116148659	8.346129625	8.446370096
1417364_at	14.56195432	14.53967566	14.5549635	14.29901385	14.29197869	14.29111061
1417365_a_at	12.41347062	12.28519792	12.50413532	12.79681023	12.74263784	12.3303586
1417366_s_at	12.91375662	12.67340795	12.80218636	12.7869438	13.03294461	12.97813264
1417367_at	13.35493786	13.34565966	13.34528361	13.34594944	13.34582403	13.30325058
1417368_s_at	12.39392099	12.31345303	12.39050432	12.36074698	12.54614492	12.36385658
1417369_at	10.21213612	10.11843291	9.999070204	10.40420373	10.29682567	10.13604219
1417370_at	5.948253382	6.237118475	6.589148868	6.6071048	4.537844148	5.016558934
1417371_at	10.56859958	10.62066418	10.82729572	11.45979998	11.23470667	11.30865593
1417372_a_at	11.50681864	11.17903974	11.60496179	11.87812808	12.12261471	12.28825698
1417373_a_at	14.25757233	14.38639226	14.21533623	14.27631607	14.10542394	13.78756948
1417374_at	13.09953526	12.95292988	12.95405689	12.84387026	12.75630809	12.31246874
1417375_at	7.295249994	7.50268918	7.363648139	8.080934639	7.439618869	7.134743326
1417376_a_at	9.143720261	9.147360461	9.213865268	9.447475132	9.284897609	9.297259116
1417377_at	9.230940443	8.750924527	8.824533568	8.760284754	8.179722696	8.330252775
1417378_at	10.10154388	10.00263636	10.24443187	10.24297833	10.28974613	10.20288204
1417379_at	12.00770895	12.10681989	11.91950134	11.89221057	11.58887807	11.58385687
1417380_at	12.73112686	12.79700557	12.83537148	12.46439093	12.22732558	12.14054881
1417381_at	9.692628729	9.606066575	9.469500944	9.44420613	9.71719046	9.817635412
1417382_at	8.977866482	8.216078414	8.902915247	8.826632085	8.447918965	8.653334325
1417383_at	7.22268371	7.800413589	7.608659418	7.359718019	7.928072768	7.701760006
